Date,Code libellé,Libellé,Mini,Maxi,Moyen,Unité prix,,,
2018-01-25,57219316,ANANAS standard (hors Victoria),1,1,2,19,1,72,la pièce
2018-01-25,57219214,BANANE Afrique vrac,,,1,42,le kg,,
2018-01-25,57219236,BANANE Amérique vrac,,,1,61,le kg,,
2018-01-25,57219375,BANANE biologique,1,39,1,99,1,88,le kg
2018-01-25,57219361,CLÉMENTINE hors Fr. vrac,1,49,2,29,1,86,le kg
2018-01-25,57219319,KIWI France cdt 1kg,,,2,82,le kg,,
2018-01-25,57222318,KIWI France vrac,0,3,0,49,0,46,la pièce
2018-01-25,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,63,le kg,,
2018-01-25,57219323,MANGUE vrac,0,59,1,99,1,43,la pièce
2018-01-25,57219360,NOIX AOP Grenoble sac 1kg,,,5,89,le kg,,
2018-01-25,57223741,NOIX AOP Grenoble vrac,,,5,33,le kg,,
2018-01-25,57223725,NOIX sans label France sachet 500g,,,6,38,le kg,,
2018-01-25,57221274,NOIX sans label France vrac,,,5,93,le kg,,
2018-01-25,57219324,ORANGE vrac,1,39,2,69,1,9,le kg
2018-01-25,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,52,le kg,,
2018-01-25,57219306,POIRE Conférence France vrac,,,2,27,le kg,,
2018-01-25,57219329,POIRE Conférence hors Fr. vrac,,,2,9,le kg,,
2018-01-25,57219310,POIRE Doyenne du comice France vrac,,,2,32,le kg,,
2018-01-25,57219331,POIRE Doyenne du comice hors Fr. vrac,,,3,5,le kg,,
2018-01-25,57219332,POIRE Williams verte hors Fr. vrac,,,2,9,le kg,,
2018-01-25,57219327,POMME Bicolore France sachet 2kg,1,2,1,35,1,3,le kg
2018-01-25,57219328,POMME Braeburn France +170g vrac,,,2,4,le kg,,
2018-01-25,57219226,POMME Gala France +170g vrac,,,2,15,le kg,,
2018-01-25,57219227,POMME Golden France +170g vrac,1,79,2,39,2,11,le kg
2018-01-25,57219372,POMME Golden France biologique,,,3,43,le kg,,
2018-01-25,57219228,POMME Golden France sachet 2kg,1,2,1,4,1,31,le kg
2018-01-25,57219229,POMME Granny smith France +170g vrac,,,2,18,le kg,,
2018-02-01,57219316,ANANAS standard (hors Victoria),1,2,2,19,1,84,la pièce
2018-02-01,57219214,BANANE Afrique vrac,,,1,48,le kg,,
2018-02-01,57219236,BANANE Amérique vrac,,,1,69,le kg,,
2018-02-01,57219375,BANANE biologique,1,99,1,99,1,94,le kg
2018-02-01,57219319,KIWI France cdt 1kg,,,2,52,le kg,,
2018-02-01,57222318,KIWI France vrac,0,33,0,49,0,46,la pièce
2018-02-01,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,22,le kg,,
2018-02-01,57219323,MANGUE vrac,0,95,1,99,1,43,la pièce
2018-02-01,57219360,NOIX AOP Grenoble sac 1kg,,,5,89,le kg,,
2018-02-01,57223741,NOIX AOP Grenoble vrac,,,5,73,le kg,,
2018-02-01,57223725,NOIX sans label France sachet 500g,,,6,74,le kg,,
2018-02-01,57221274,NOIX sans label France vrac,,,6,12,le kg,,
2018-02-01,57219324,ORANGE vrac,1,29,2,2,1,78,le kg
2018-02-01,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,66,le kg,,
2018-02-01,57219306,POIRE Conférence France vrac,,,2,28,le kg,,
2018-02-01,57219329,POIRE Conférence hors Fr. vrac,,,2,29,le kg,,
2018-02-01,57219310,POIRE Doyenne du comice France vrac,,,2,41,le kg,,
2018-02-01,57219331,POIRE Doyenne du comice hors Fr. vrac,,,3,23,le kg,,
2018-02-01,57219332,POIRE Williams verte hors Fr. vrac,,,2,9,le kg,,
2018-02-01,57219327,POMME Bicolore France sachet 2kg,1,25,1,4,1,35,le kg
2018-02-01,57219328,POMME Braeburn France +170g vrac,,,1,99,le kg,,
2018-02-01,57219226,POMME Gala France +170g vrac,,,1,85,le kg,,
2018-02-01,57219274,POMME Golden France 136/180g vrac,,,1,62,le kg,,
2018-02-01,57219227,POMME Golden France +170g vrac,1,69,2,19,1,91,le kg
2018-02-01,57219372,POMME Golden France biologique,,,3,34,le kg,,
2018-02-01,57219228,POMME Golden France sachet 2kg,1,25,1,4,1,35,le kg
2018-02-01,57219229,POMME Granny smith France +170g vrac,,,1,89,le kg,,
2018-02-08,57219316,ANANAS standard (hors Victoria),1,29,2,19,1,88,la pièce
2018-02-08,57219214,BANANE Afrique vrac,,,1,58,le kg,,
2018-02-08,57219236,BANANE Amérique vrac,,,1,52,le kg,,
2018-02-08,57219375,BANANE biologique,1,49,1,99,1,89,le kg
2018-02-08,57219319,KIWI France cdt 1kg,,,2,68,le kg,,
